Date,account,total_pnl,total_volume,avg_trade_size,trade_count,avg_leverage,win_rate,long_pct,max_drawdown,Classification,Sentiment_Score
2025-07-01,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,0.0,5768.6,5768.6,1,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,11206.71,633196.38,2729.29,232,1.0,95.25862068965517,94.39655172413794,0.0,Greed,67.0
2025-07-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,473733.88,12147.02,39,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-01,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,289.26,52479.39,1311.98,40,1.0,77.5,75.0,-165.69662299999618,Greed,67.0
2025-07-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,267.85,10681.19,103.7,103,1.0,69.90291262135922,84.46601941747572,-2.1300300000002608,Greed,67.0
2025-07-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1831.95,153505.59,1073.47,143,1.0,33.56643356643357,73.42657342657343,0.0,Greed,67.0
2025-07-02,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6119.38,1376937.75,1749.6,787,1.0,25.667090216010163,74.84116899618806,-4196.8196000000025,Greed,67.0
2025-07-02,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,0.0,92000.0,46000.0,2,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-02,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2631.23,257480.58,2059.84,125,1.0,40.0,60.0,-50517.90484000009,Greed,67.0
2025-07-02,0x8477e447846c758f5a675856001ea72298fd9cb5,0.0,1662.92,277.15,6,1.0,0.0,0.0,0.0,Greed,67.0
2025-07-02,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,5999.86,666.65,9,1.0,0.0,0.0,-5736.219455999999,Greed,67.0
2025-07-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,126.11,4899.89,288.23,17,1.0,82.35294117647058,52.94117647058824,-8.69915800000308,Greed,67.0
2025-07-02,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,0.0,41737.45,772.92,54,1.0,0.0,46.2962962962963,0.0,Greed,67.0
2025-07-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3691.31,526723.87,19508.29,27,1.0,33.33333333333333,44.44444444444444,0.0,Greed,67.0
2025-07-02,0x430f09841d65beb3f27765503d0f850b8bce7713,5615.05,417119.94,4485.16,93,1.0,25.806451612903224,74.19354838709677,0.0,Greed,67.0
2025-07-02,0x2c229d22b100a7beb69122eed721cee9b24011dd,-1145.92,318137.39,2135.15,149,1.0,4.026845637583892,31.543624161073826,-2479.5190100000036,Greed,67.0
2025-07-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,932.45,32228.93,596.83,54,1.0,66.66666666666666,33.33333333333333,0.0,Greed,67.0
2025-07-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2648.45,231829.37,3997.06,58,1.0,70.6896551724138,10.344827586206897,-614.113023999962,Greed,67.0
2025-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,9.27,1109.14,554.57,2,1.0,50.0,50.0,0.0,Greed,67.0
2025-07-03,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,43861.97,1463931.81,9958.72,147,1.0,65.98639455782312,78.91156462585033,-464.7765789999976,Greed,67.0
2025-07-03,0xbaaaf6571ab7d571043ff1e313a9609a10637864,87405.93,3952933.62,4768.32,829,1.0,68.03377563329313,31.966224366706875,0.0,Greed,67.0
2025-07-03,0xb899e522b5715391ae1d4f137653e7906c5e2115,5348.63,12525513.26,19006.85,659,1.0,45.97875569044006,45.220030349013655,-205.4340119999979,Greed,67.0
2025-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,141700.47,2891.85,49,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-03,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,9142.06,1174974.32,1885.99,623,1.0,51.04333868378812,48.796147672552166,-28706.77943700005,Greed,67.0
2025-07-03,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,149999.77,12499.98,12,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-03,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,100077.85,1755.75,57,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3273.54,221986.16,10090.28,22,1.0,81.81818181818183,31.818181818181817,0.0,Greed,67.0
2025-07-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,781.67,28747.42,463.67,62,1.0,25.806451612903224,69.35483870967742,-91.85351800000353,Greed,67.0
2025-07-03,0x2c229d22b100a7beb69122eed721cee9b24011dd,1.18,2917.95,972.65,3,1.0,33.33333333333333,66.66666666666666,0.0,Greed,67.0
2025-07-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,411.82,29937.28,748.43,40,1.0,37.5,65.0,0.0,Greed,67.0
2025-07-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,55481.42,1499.5,37,1.0,0.0,100.0,-18370.779142,Greed,67.0
2025-07-03,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,0.0,4965.01,496.5,10,1.0,0.0,100.0,-1485.6352000000188,Greed,67.0
2025-07-04,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,-9593.26,630246.61,1632.76,386,1.0,5.181347150259067,39.37823834196891,-23760.54115299997,Greed,67.0
2025-07-04,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,51942.14,1685695.88,15608.3,108,1.0,27.77777777777778,52.77777777777778,-78945.06784900001,Greed,67.0
2025-07-04,0xbaaaf6571ab7d571043ff1e313a9609a10637864,2378.88,1275024.64,8733.05,146,1.0,32.19178082191781,67.8082191780822,0.0,Greed,67.0
2025-07-04,0xb899e522b5715391ae1d4f137653e7906c5e2115,1291.15,2671258.06,23639.45,113,1.0,26.548672566371685,63.716814159292035,-60231.84656,Greed,67.0
2025-07-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3601.43,137098.98,1713.74,80,1.0,47.5,52.5,0.0,Greed,67.0
2025-07-04,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,0.0,38053.98,2238.47,17,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-04,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3425.96,653351.5,9608.11,68,1.0,48.529411764705884,36.76470588235294,0.0,Greed,67.0
2025-07-04,0x8477e447846c758f5a675856001ea72298fd9cb5,632.3,499332.72,1849.38,270,1.0,27.037037037037038,53.70370370370371,-167.28820499998983,Greed,67.0
2025-07-04,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4968.49,197856.82,7609.88,26,1.0,0.0,53.84615384615385,-4968.487948000002,Greed,67.0
2025-07-04,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,139954.52,2744.21,51,1.0,0.0,0.0,0.0,Greed,67.0
2025-07-04,0x6d6a4b953f202f8df5bed40692e7fd865318264a,232.0,50517.06,990.53,51,1.0,13.725490196078432,62.745098039215684,-0.8998499999870546,Greed,67.0
2025-07-04,0x513b8629fe877bb581bf244e326a047b249c4ff1,-37999.87,529712.57,6969.9,76,1.0,7.894736842105263,7.894736842105263,-42182.905726,Greed,67.0
2025-07-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,599973.16,13332.74,45,1.0,0.0,100.0,0.0,Greed,67.0
2025-07-04,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,13642.63,1470763.94,7781.82,189,1.0,21.164021164021165,78.83597883597884,0.0,Greed,67.0
2025-07-04,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-5651.55,27343.42,569.65,48,1.0,14.583333333333334,43.75,-8505.609347999998,Greed,67.0
2025-07-04,0x39cef799f8b69da1995852eea189df24eb5cae3c,25941.72,3619016.91,3895.6,929,1.0,31.646932185145317,51.45317545748116,-33477.625383000006,Greed,67.0
2025-07-04,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,9485.86,110509.7,1811.63,61,1.0,34.42622950819672,34.42622950819672,-72378.920559,Greed,67.0
2025-07-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-19833.53,124542.67,830.28,150,1.0,18.0,26.666666666666668,-20435.790722000005,Greed,67.0
2025-08-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,15118.5,944.91,16,1.0,0.0,100.0,0.0,Greed,67.0
2025-08-01,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1023.28,26414.2,1200.65,22,1.0,95.45454545454545,95.45454545454545,0.0,Greed,67.0
2025-08-01,0x8477e447846c758f5a675856001ea72298fd9cb5,1303.13,160166.71,410.68,390,1.0,32.82051282051282,59.23076923076923,-54.839961999998195,Greed,67.0
2025-08-01,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,0.0,23615.29,2146.84,11,1.0,0.0,100.0,0.0,Greed,67.0
2025-08-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3710.36,226664.16,4625.8,49,1.0,91.83673469387756,55.10204081632652,0.0,Greed,67.0
2025-08-01,0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.0,35601.47,2966.79,12,1.0,0.0,0.0,0.0,Greed,67.0
2025-08-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,308657.88,19291.12,16,1.0,0.0,100.0,0.0,Greed,67.0
